raw_alt,region,source,titre,prix,surface_m2,rooms,localisation,code_postal,ville
Terrain avec maison neuve à vendre 275 000 € 5 pièces 4 chambres 133 m² 507 m² de terrain Cambronne-Lès-Clermont 60290,Hauts-de-France,logicimmo,,275000.0,133.0,5.0,,,
Appartement à vendre 765 000 € 4 pièces 2 chambres 101 m² Étage 2/6 Versailles 78000,Hauts-de-France,logicimmo,,765000.0,101.0,4.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 201 900 € 2 pièces 1 chambre 50 m² 509 m² de terrain Arsy 60190,Hauts-de-France,logicimmo,,201900.0,50.0,2.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 218 900 € 3 pièces 2 chambres 78 m² 497 m² de terrain Arsy 60190,Hauts-de-France,logicimmo,,218900.0,78.0,3.0,,,
Maison à vendre 215 000 € 5 pièces 3 chambres 128 m² 570 m² de terrain Faubourg Saint Catherine-Faubourg de Paris-Le Vignole Valenciennes 59300,Hauts-de-France,logicimmo,,215000.0,128.0,5.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 220 000 € 5 pièces 4 chambres 133 m² 675 m² de terrain Centre Château-Thierry 02400,Hauts-de-France,logicimmo,,220000.0,133.0,5.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 229 900 € 4 pièces 3 chambres 90 m² 728 m² de terrain Bouconvillers 60240,Hauts-de-France,logicimmo,,229900.0,90.0,4.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 323 900 € 6 pièces 5 chambres 165 m² 728 m² de terrain Bouconvillers 60240,Hauts-de-France,logicimmo,,323900.0,165.0,6.0,,,
Appartement à vendre - neuf 408 000 € 4 pièces 3 chambres 90 m² dès le 22/05/2028 Sainte Helene Saint-André-Lez-Lille 59350,Hauts-de-France,logicimmo,,408000.0,90.0,4.0,,,
Appartement à vendre - neuf 159 900 € 1 pièce 28 m² 1er étage dès le 30/05/2027 Randon Berck 62600,Hauts-de-France,logicimmo,,159900.0,28.0,1.0,,,
"Appartement à vendre - neuf 204 000 € 3 pièces 2 chambres 56,5 m² dès le 31/03/2027 Saint-Maximin 60740",Hauts-de-France,logicimmo,,204000.0,56.5,3.0,,,
"Appartement à vendre - neuf 225 000 € 2 pièces 57,5 m² RDC/7 dès le 31/03/2027 Centre-Victoire Dunkerque 59240",Hauts-de-France,logicimmo,,225000.0,57.5,2.0,,,
"Appartement à vendre - neuf 555 000 € 3 pièces 2 chambres 112,8 m² 1er étage Brigode-Ascq-Haute Borne Villeneuve-d'Ascq 59491",Hauts-de-France,logicimmo,,555000.0,112.8,3.0,,,
"Appartement à vendre - neuf 207 483 € 3 pièces 60,5 m² 2ème étage Royallieu Compiegne 60200",Hauts-de-France,logicimmo,,207483.0,60.5,3.0,,,
"Appartement à vendre - neuf 785 000 € 5 pièces 4 chambres 130,8 m² dès le 31/12/2027 Neudorf Ouest Centre Strasbourg 67000",Hauts-de-France,logicimmo,,785000.0,130.8,5.0,,,
Appartement à vendre - neuf 192 000 € 2 pièces 1 chambre 40 m² dès le 31/12/2027 Malo les Bains-Terminus Dunkerque 59140,Hauts-de-France,logicimmo,,192000.0,40.0,2.0,,,
"Appartement à vendre - neuf 248 040 € 3 pièces 2 chambres 62,7 m² dès le 30/06/2026 Centre-Plat Vinage Roncq 59223",Hauts-de-France,logicimmo,,248040.0,62.7,3.0,,,
"Appartement à vendre - neuf 285 000 € 3 pièces 2 chambres 66,2 m² Arbrisseau Ouest Wattignies 59139",Hauts-de-France,logicimmo,,285000.0,66.2,3.0,,,
"Appartement à vendre - neuf 449 000 € 4 pièces 3 chambres 85,4 m² Arbrisseau Ouest Wattignies 59139",Hauts-de-France,logicimmo,,449000.0,85.4,4.0,,,
Terrain avec maison neuve à vendre 254 900 € 1 pièce 4 chambres 104 m² 351 m² de terrain Vecquemont 80800,Hauts-de-France,logicimmo,,254900.0,104.0,1.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 224 900 € 4 pièces 3 chambres 90 m² 509 m² de terrain Arsy 60190,Hauts-de-France,logicimmo,,224900.0,90.0,4.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 189 000 € 4 pièces 3 chambres 95 m² 675 m² de terrain Centre Château-Thierry 02400,Hauts-de-France,logicimmo,,189000.0,95.0,4.0,,,
Maison de ville à vendre 320 000 € 5 pièces 3 chambres 150 m² 213 m² de terrain Meaulens Saint Gery Arras 62000,Hauts-de-France,logicimmo,,320000.0,150.0,5.0,,,
Maison à vendre 199 000 € 8 pièces 4 chambres 200 m² 1 679 m² de terrain Marly-Gomont 02120,Hauts-de-France,logicimmo,,199000.0,200.0,8.0,,,
Maisons Babeau Seguin,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 191 199 € 5 pièces 4 chambres 100 m² 978 m² de terrain Ciry-Salsogne 02220,Hauts-de-France,logicimmo,,191199.0,100.0,5.0,,,
