address,lat,lon
"MONTOIR, 44550, France",47.3285909,-2.1543171
"ÉQUEMAUVILLE, 14600, France",49.3941521,0.2075588
"AGON, 50230, France",49.0426274,-1.5767053
"HAUTEVILLE, 50590, France",49.8783333,3.5230556
"FONTAINE, 76290, France",45.1950183,5.6869624
"COURCELLES, 27940, France",49.1828874,1.3590126
"PRÉAUX, 76160, France",49.4916208,1.216027
"HOULGATE, 14510, France",49.3008653,-0.0751662
"MER, 14510, France",,
"ÉTRÉPAGNY, 27150, France",49.3065762,1.6110749
"AGNEAUX, 50180, France",49.1165234,-1.114372
"MOTEL, 27710, France",48.785536,1.3626443
"ACQUIGNY, 27400, France",49.17231,1.178352
"MAISONS, 14400, France",49.3188308,-0.7568691
"ADRESSE, 76310, France",49.5052482,0.0805655
"SAINT, 27220, France",48.8938043,1.2464751
"MERVILLE, 14810, France",49.2730829,-0.1981897
"PEILLAC, 56220, France",47.7132565,-2.2185625
"BOLBEC, 76210, France",49.5739091,0.4742448
"CANY, 76450, France",49.7868965,0.6358291
"ECHAUFFOUR, 61370, France",48.740133,0.38703
"BRANVILLE, 14430, France",49.2730972,0.0256631
"SAINT, 14280, France",49.214884,-0.4017716
"FRESQUIENNES, 76570, France",49.5633687,1.0047394
"TRAIT, 76580, France",49.4819151,0.8087513
"SAINT, 50380, France",48.815813,-1.5708656
"AUBEVOYE, 27940, France",49.177214,1.3331944
"SOTTEVILLE, 50340, France",49.5396722,-1.7551133
"NEUBOURG, 27110, France",49.1496553,0.9044712
"BOUILLE, 76530, France",49.3521374,0.9302786
"DIVES, 14160, France",49.2866417,-0.1001559
"BRICQUEBEC, 50260, France",49.4717312,-1.6321305
"ARTANNES, 37260, France",47.2729908,0.5996983
"GRUCHET, 76210, France",49.5569416,0.4866308
"BAILLEUL, 27920, France",50.7396668,2.7349286
"SACQUENVILLE, 27930, France",49.082819,1.0743166
"AIGLE, 61300, France",48.7651713,0.6278039
"OUISTREHAM, 14150, France",49.2761243,-0.258479
"ROCQUENCOURT, 78150, France",48.833333,2.1063004
"LORIENT, 56100, France",47.7477336,-3.3660907
"THORIGNE, 35235, France",48.1535233,-1.5800238
"BREST, 29200, France",48.3905283,-4.4860088
"SAINT, 22000, France",48.5141826,-2.7638991
"AUDIERNE, 29770, France",48.0231226,-4.5397715
"SAINT, 35230, France",48.105314,-1.6673866
"FAOUËT, 56320, France",48.0324826,-3.4898391
"PACÉ, 35740, France",48.1465726,-1.7728997
"RELECQ, 29480, France",48.4075514,-4.3965573
"RENNES, 35000, France",48.1030752,-1.6726296
"DINARD, 35800, France",48.6320379,-2.0580178
"SAINT, 35400, France",48.6338625,-2.0305438
